Property,P-value,Delta,Effect size interpretation
URL,0.00020104571109612058,0.22470238095238096,small
File,1.281822271247216e-06,0.36495535714285715,medium
Lines_of_code,3.806657893916318e-09,0.49975198412698413,large
Require,5.441672668065321e-06,0.3556547619047619,medium
Ensure,2.1813189862389457e-06,0.38231646825396826,medium
Include,7.197344596822026e-05,0.3256448412698413,small
Attribute,2.4764251571120458e-08,0.47023809523809523,medium
Hard_coded_string,8.660750976643614e-11,0.5510912698412699,large
Comment,9.521034616919844e-06,0.3685515873015873,medium
Command,2.8464620807708443e-05,0.24293154761904762,small
File_mode,4.963935069191461e-08,0.4086061507936508,medium
SSH_KEY,1.9012152277704402e-07,0.3922371031746032,medium
